Unit,Gd Pt,Plot Size,Plot,Size Cl,Hw,Cw,Sx,Pl,Bl,Ba,Ep,At,Ac,dead Hw,deadCw,deadSx,deadPl,deadBl,deadBa,deadEp,deadAt,deadAc,Comments
A1,A000,1.78,I,0-5cm,,1,1,,,,5,,1,,,,,,,,,1,Note that the coordinates for this unit (A1) are for where the sign is.  The plot 
A1,A000,1.78,I,5.1-10cm,,2,1,,,,,,,,,,,,,,,,centre is 6 m to the north 
A1,A000,1.78,S,0-1.3 m,0,1,,,,,2,,,,,,,,,,,,
A1,B050,1.26,I,0-5cm,2,1,,,3,,2,,,,,,,,,,,,
A1,B050,1.26,I,5.1-10cm,,,1,,,,,,,,,,,,,,,,
A1,B050,1.26,S,0-1.3 m,,,,,1,,,,,,,,,,,,,,
A1,B150,2.52,I,0-5cm,1,,1,,,,2,,1,,,,1,,,,,1,
A1,B150,2.52,I,5.1-10cm,,,,,,,,,,,,,1,,,,,,
A1,B150,2.52,S,0-1.3 m,8,1,1,,,,,,,,,,,,,,,,
A1,C050,1.78,I,0-5cm,,2,1,2,1,,3,,2,,,,,,,,,,
A1,C050,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A1,C050,1.78,S,0-1.3 m,1,1,2,1,,,,,,,,,,,,,,,
A1,C150,1.78,I,0-5cm,1,,,,,,13,9,,,,,2,,,,,,
A1,C150,1.78,I,5.1-10cm,,,1,,,,,,,,,,,,,,,,
A1,C150,1.78,S,0-1.3 m,,,,1,,,5,7,,,,,,,,,,,
A1,C250,2.52,I,0-5cm,4,1,,,,,10,,1,,,,,,,,,,
A1,C250,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A1,C250,2.52,S,0-1.3 m,,,,,,,8,,1,,,,,,,,,,
A1,D000,1.78,I,0-5cm,1,,3,1,,,11,,1,,,,,,,,,,
A1,D000,1.78,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A1,D000,1.78,S,0-1.3 m,4,,,,,,4,,,,,,,,,,,,
A1,D100,2.52,I,0-5cm,1,,,1,,,3,,2,,,,,,,,,,
A1,D100,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A1,D100,2.52,S,0-1.3 m,3,5,2,,,,2,,,,,,,,,,,,
A1,D200,1.26,I,0-5cm,2,3,,1,,,6,,,,,,,,,,,,
A1,D200,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A1,D200,1.26,S,0-1.3 m,,,,,,,3,,,,,,,,,,,,
A1,E000,0.8,I,0-5cm,4,1,1,,,,3,,,,,,,,,,,,
A1,E000,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A1,E000,0.8,S,0-1.3 m,2,2,2,,,,,,,,,,,,,,,,
A1,E150,1.26,I,0-5cm,,,,,,,11,4,,,,,,,,,,,8 of the Ep are real trees and 3 are barely alive and unlikely to survive
A1,E150,1.26,I,5.1-10cm,,,,1,,,,,,,,,,,,,,,
A1,E150,1.26,S,0-1.3 m,1,,,,,,1,,,,,,,,,,,,
A1,E250,2.52,I,0-5cm,1,,,,,,8,,,,,,,,,,,,
A1,E250,2.52,I,5.1-10cm,,,1,1,,,,,,,,,,,,,,,
A1,E250,2.52,S,0-1.3 m,1,,,,,,4,,,,,,,,,,,,
A1,F050,2.52,I,0-5cm,,,,,,,11,,1,,,,,,,,,,8 seperate clumps of Ep
A1,F050,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A1,F050,2.52,S,0-1.3 m,2,1,,,,,26,,,,,,,,,,,,
A1,F150,1.78,I,0-5cm,,,,1,,,15,3,9,,,,,,,,1,,
A1,F150,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A1,F150,1.78,S,0-1.3 m,,2,,1,,,3,,1,,,,,,,,,,
A1,F300,1.78,I,0-5cm,,,,,1,,1,,,,,,,,,,,,
A1,F300,1.78,I,5.1-10cm,2,,,,,,,,,,,,,,,,,,
A1,F300,1.78,S,0-1.3 m,10,1,,,,,2,,,,,,,,,,,,
A1,G050,3.99,I,0-5cm,1,1,1,,,,5,,3,,,,,,,,,1,both Pl taller than 1.3 but dead above dbh
A1,G050,3.99,I,5.1-10cm,,,1,,,,,,,,,,,,,,,,
A1,G050,3.99,S,0-1.3 m,4,7,13,2,,,15,,1,2,,,,,,,,,
A1,G150,2.52,I,0-5cm,,,4,,,,,,5,,,,,,,,,,in a sea of willow
A1,G150,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A1,G150,2.52,S,0-1.3 m,1,1,3,,,,,,,,,,,,,,,,
A1,G250,0.8,I,0-5cm,6,,,,,,1,,,,,,,,,,,,
A1,G250,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A1,G250,0.8,S,0-1.3 m,1,4,1,,,,2,,,,,,,,,,,,
A1,H100,2.52,I,0-5cm,,1,,,1,,5,,2,,,,,,,,,,
A1,H100,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
A1,H100,2.52,S,0-1.3 m,,2,1,,,,3,,1,,,,,,,,,,
A1,H200,2.52,I,0-5cm,,1,1,,,,5,,6,,,,,,,,,,
A1,H200,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A1,H200,2.52,S,0-1.3 m,1,,1,,,,9,,4,,,,,,,,,,
A2,A050,1.26,I,0-5cm,0,,,,,,,,,,,,,,,,,,See large tree plots for GPS Coordinates
A2,A050,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,A050,1.26,S,0-1.3 m,14,,2,,,,,,,1,,,,,,,,,
A2,B050,3.99,I,0-5cm,3,4,1,,,,,,,,1,,,,,,,,
A2,B050,3.99,I,5.1-10cm,1,2,,,,,,,,,,,,,,,,,
A2,B050,3.99,S,0-1.3 m,15,8,1,,,,,,,,,,,,,,,,
A2,B150,3.99,I,0-5cm,2,1,,,,,,,,,,,,,,,,,
A2,B150,3.99,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
A2,B150,3.99,S,0-1.3 m,19,5,,,,,,,,,,,,,,,,,
A2,C000,2.52,I,0-5cm,,1,,,,,,,,,,,,,,,,,First plot w/ kerrith 
A2,C000,2.52,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
A2,C000,2.52,S,0-1.3 m,27,4,,,2,,,,,,,,,,,,,,
A2,C100,2.52,I,0-5cm,0,3,,,,,2,,,,,,,,,,,,
A2,C100,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,C100,2.52,S,0-1.3 m,7,8,,,,,,,,,,,,,,,,,
A2,D050,3.99,I,0-5cm,7,2,,,,,,,,,,,,,,,,,
A2,D050,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,D050,3.99,S,0-1.3 m,11,3,,,,,,,,3,1,,,,,,,,
A2,D200,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,D200,3.99,I,5.1-10cm,0,,1,,,,,,,,,,,,,,,,
A2,D200,3.99,S,0-1.3 m,52,1,1,,,,1,,,,,,,,,,,,
A2,E050,5.64,I,0-5cm,,2,,,,,,,,,2,,,,,,,,
A2,E050,5.64,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
A2,E050,5.64,S,0-1.3 m,11,1,2,,,,,,,,,,,,,,,,
A2,E200,3.99,I,0-5cm,1,,,,,,,,,,,,,,,,,,
A2,E200,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,E200,3.99,S,0-1.3 m,11,1,,,,,,,,1,1,,,,,,,,
A2,F000,3.99,I,0-5cm,,2,,,,,,,,,,,,,,,,,
A2,F000,3.99,I,5.1-10cm,,3,,,,,,,,1,,,,,,,,,
A2,F000,3.99,S,0-1.3 m,4,1,1,,,,,,,,,,,,,,,,
A2,F100,5.64,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,F100,5.64,I,5.1-10cm,0,1,,,,,,,,,,,,,,,,,
A2,F100,5.64,S,0-1.3 m,6,1,,,,,,,,,,,,,,,,,
A2,F250,1.78,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,F250,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,F250,1.78,S,0-1.3 m,23,,1,,,,,,,,,,,,,,,,
A2,G000,1.26,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,G000,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,G000,1.26,S,0-1.3 m,13,,,,1,,,,,,,,,,,,,,
A2,G100,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
A2,G100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,G100,3.99,S,0-1.3 m,3,2,,,,,,,,,,,,,,,,,
A2,G250,2.52,I,0-5cm,12,,,,,,,,,2,,,,,,,,,
A2,G250,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,G250,2.52,S,0-1.3 m,37,,,,,,,,,,,,,,,,,,
A2,H050,1.26,I,0-5cm,9,,,,,,,,,,,,1,,,,,,
A2,H050,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,H050,1.26,S,0-1.3 m,9,,,3,,,,,,,,,,,,,,,
A2,H150,3.99,I,0-5cm,0,5,,,,,1,,,,,,,,,,,,
A2,H150,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,H150,3.99,S,0-1.3 m,35,2,2,2,,,,,,,,,,,,,,,
A2,H250,2.52,I,0-5cm,0,,1,,,,,,,,,,,,,,,,Lots of regen less than 20cm
A2,H250,2.52,I,5.1-10cm,1,1,,,,,,,,,,,,,,,,,
A2,H250,2.52,S,0-1.3 m,20,,3,,,,,,,,,,,,,,,,
A2,H350,3.99,I,0-5cm,0,5,,,,,,,,,1,,,,,,,,
A2,H350,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,H350,3.99,S,0-1.3 m,28,6,1,,,,,,,,,,,,,,,,
A2,I050,3.99,I,0-5cm,,3,,,,,,,,,,,,,,,,,
A2,I050,3.99,I,5.1-10cm,,,,,,,,,,1,,,,,,,,,
A2,I050,3.99,S,0-1.3 m,6,3,,,,,,,,,,,,,,,,,
A2,I150,3.99,I,0-5cm,0,3,,,,,,,,,,,,,,,,,
A2,I150,3.99,I,5.1-10cm,0,3,,,,,,,,,,,,,,,,,
A2,I150,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
A2,I250,2.52,I,0-5cm,12,1,1,,,,,,,,,,,,,,,,
A2,I250,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,I250,2.52,S,0-1.3 m,21,1,,,,,,,,,,,,,,,,,
A2,I350,5.64,I,0-5cm,1,,,,,,,,,3,,,,,,,,,
A2,I350,5.64,I,5.1-10cm,5,1,,,,,,,,1,,,,,,,,,
A2,I350,5.64,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
A2,J050,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,J050,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,J050,3.99,S,0-1.3 m,46,2,1,,,,,,,1,,,,,,,,,
A2,J150,3.99,I,0-5cm,0,3,,,,,,,,1,,,,,,,,,
A2,J150,3.99,I,5.1-10cm,0,,,,,,,,,1,,,,,,,,,
A2,J150,3.99,S,0-1.3 m,0,6,,,,,,,,,,,,,,,,,
A2,J250,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,J250,3.99,I,5.1-10cm,0,,,,,,,,,3,,,,,,,,,
A2,J250,3.99,S,0-1.3 m,0,8,,,,,,,,,,,,,,,,,
A2,K050,1.26,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,K050,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A2,K050,1.26,S,0-1.3 m,37,4,1,,,,,,,1,,,,,,,,,
A2,K150,3.99,I,0-5cm,0,1,,,,,,,,,,,,,,,,,
A2,K150,3.99,I,5.1-10cm,0,2,,,,,,,,1,,,,,,,,,
A2,K150,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
A2,L000,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A2,L000,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
A2,L000,2.52,S,0-1.3 m,25,1,,,,,,,,,,,,,,,,,
A2,L100,3.99,I,0-5cm,0,,,,,,,,,,,,,,1,,,,
A2,L100,3.99,I,5.1-10cm,0,2,,,,,,,,,,,,,,,,,
A2,L100,3.99,S,0-1.3 m,8,,,,,,,,,,,,,,,,,,
A3,A100,1.26,I,0-5cm,2,1,,,,,6,,,,,,,,,,,,Ep throughout this block occur as basal sprouts. Counted each seperately.
A3,A100,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,A100,1.26,S,0-1.3 m,6,5,1,,,,10,,2,,,,,,,,,,
A3,A300,2.52,I,0-5cm,4,,1,,,,14,,3,,,,,,,,,,
A3,A300,2.52,I,5.1-10cm,3,,1,,,,,,,,,,,,,,,,
A3,A300,2.52,S,0-1.3 m,14,3,,,,,8,,1,,,,,,,,,,
A3,B050,1.25,I,0-5cm,,,,,,,14,1,,,,,,,,,,,
A3,B050,1.25,I,5.1-10cm,,,1,,,,,,,,,,,,,,,,
A3,B050,1.25,S,0-1.3 m,3,,,,,,,,,,,,,,,,,,
A3,B200,2.52,I,0-5cm,0,,1,,,,1,,6,,,,,,,,,1,In a hole 
A3,B200,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,B200,2.52,S,0-1.3 m,1,,,,,,14,,,,,,,,,1,,,Heavy  browse on Ep
A3,C100,1.26,I,0-5cm,1,1,1,,,,5,,,,,,,,,,,,
A3,C100,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,C100,1.26,S,0-1.3 m,0,,,,,,,1,,,,,,,,,,,
A3,C250,1.26,I,0-5cm,0,,,,,,14,3,,,,,,,,3,,,
A3,C250,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,C250,1.26,S,0-1.3 m,1,1,,,,,1,,,,,,,,,,,,
A3,D000,2.52,I,0-5cm,2,2,,,,,1,,,,,,,,,,,,
A3,D000,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,D000,2.52,S,0-1.3 m,1,5,1,,,,,,,,,,,,,,,,
A3,D200,2.52,I,0-5cm,3,1,,,,,13,2,,,,,,,,,,,w/Dave and Albanie
A3,D200,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
A3,D200,2.52,S,0-1.3 m,8,,,,,,,,,,,,,,,,,,
A3,D350,2.52,I,0-5cm,0,2,1,,,,5,,10,,,,1,,,,,,
A3,D350,2.52,I,5.1-10cm,0,,,,,,1,,1,,,,,,,,,,
A3,D350,2.52,S,0-1.3 m,12,3,1,,,,,,,,,,,,,,,,
A3,E050,2.52,I,0-5cm,1,,,,,,,,2,,,,,,,,,,
A3,E050,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,E050,2.52,S,0-1.3 m,2,1,1,,,,,,,,,,,,,,,,
A3,E300,1.26,I,0-5cm,0,,1,,,,1,,,,,,,,,,,,
A3,E300,1.26,I,5.1-10cm,1,,,1,,,,,,,,,,,,,,,
A3,E300,1.26,S,0-1.3 m,5,4,,,,,,,1,,,,,,,,,,
A3,F100,1.26,I,0-5cm,0,,,,,,5,1,,,,,,,,,,,
A3,F100,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,F100,1.26,S,0-1.3 m,1,,,,,,1,,,,,,,,,,1,,
A3,G050,1.26,I,0-5cm,,,,,,,6,,,,,,,,,,,,
A3,G050,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A3,G050,1.26,S,0-1.3 m,1,1,,,,,,,,,,,,,,,,,plus some small Cw - too small to count
A3,G350,2.52,I,0-5cm,0,,1,,,,15,,,,,,,,,,,,
A3,G350,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A3,G350,2.52,S,0-1.3 m,7,2,,,,,1,,,,,,,,,,,,
A3,H000,1.26,I,0-5cm,,,1,1,,,3,,5,,,,,,,,,,
A3,H000,1.26,I,5.1-10cm,,,,,,,,,1,,,,,,,,,,
A3,H000,1.26,S,0-1.3 m,1,,2,,,,,,,,,,,,,,,,
A3,H200,2.52,I,0-5cm,0,,1,,,,6,,3,,,,,,,,,,
A3,H200,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A3,H200,2.52,S,0-1.3 m,0,,,,,,3,,,,,,,,,,,,
A3,I100,2.52,I,0-5cm,,,,,,,4,,2,,,,,,,,,5,
A3,I100,2.52,I,5.1-10cm,1,,1,,,,,,,,,,,,,,,,
A3,I100,2.52,S,0-1.3 m,,1,,,,,,,1,,,,,,,,,1,
A3,I350,1.26,I,0-5cm,,,,,,,7,,,,,,,,,,,,
A3,I350,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A3,I350,1.26,S,0-1.3 m,5,3,,1,,,,,,,,,,,,,,,
A3,J050,2.52,I,0-5cm,,,1,,,,5,,,,,,,,,,,,
A3,J050,2.52,I,5.1-10cm,,1,,,,,2,,,,,,,,,,,,
A3,J050,2.52,S,0-1.3 m,,2,,,,,,,,,,,,,,,,,
A3,J300,2.52,I,0-5cm,,,3,,,,2,,1,,,,,,,,,,
A3,J300,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
A3,J300,2.52,S,0-1.3 m,1,2,3,,,,,,,,,,,,,,,,
A4,C050,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,See the large tree plots for GPS coordinates
A4,C050,3.99,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
A4,C050,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
A4,D200,3.99,I,0-5cm,,3,,,,,,,,1,,,,,,,,,Both Cw nearly horizontal on ground
A4,D200,3.99,I,5.1-10cm,1,2,,,,,,,,1,,,,,,,,,
A4,D200,3.99,S,0-1.3 m,1,4,,,,,,,,,,,,,,,,,
A4,D400,3.99,I,0-5cm,,3,,,,,,,,1,4,,,,,,,,
A4,D400,3.99,I,5.1-10cm,,5,,,,,,,,,,,,,,,,,
A4,D400,3.99,S,0-1.3 m,,1,,,,,,,,,,,,,,,,,
A4,E000,3.99,I,0-5cm,,,,,,,,,,,1,,,,,,,,
A4,E000,3.99,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
A4,E000,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
A4,E150,2.52,I,0-5cm,5,,,,,,,,,,,,,,,,,,
A4,E150,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
A4,E150,2.52,S,0-1.3 m,18,2,,,1,,,,,,,,,,,,,,
A4,E350,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A4,E350,3.99,I,5.1-10cm,,2,,,,,,,,,,,,,,,,,
A4,E350,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
A4,F150,3.99,I,0-5cm,,,,,,,,,,1,,,,,,,,,
A4,F150,3.99,I,5.1-10cm,,2,,,,,,,,,,,,,,,,,
A4,F150,3.99,S,0-1.3 m,12,4,,,1,,,,,,,,,,,,,,
A4,F350,3.99,I,0-5cm,,,,,,,,,,,1,,,,,,,,
A4,F350,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A4,F350,3.99,S,0-1.3 m,10,,,,,,,,,,,,,,,,,,
A4,G050,2.52,I,0-5cm,3,2,,,,,,,,,,,,,,,,,1 Cw is horizontal
A4,G050,2.52,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
A4,G050,2.52,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
A4,G250,2.52,I,0-5cm,,1,,,,,,,,1,1,,,,,,,,
A4,G250,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A4,G250,2.52,S,0-1.3 m,3,2,,,,,,,,,3,,,,,,,,
A4,G450,2.52,I,0-5cm,7,,,,,,,,,,,,,,,,,,
A4,G450,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A4,G450,2.52,S,0-1.3 m,5,1,,,6,,,,,2,,,,1,,,,,
A4,H150,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
A4,H150,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A4,H150,3.99,S,0-1.3 m,15,,,,,,,,,1,,,,,,,,,
A4,H400,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,Cw horizontal
A4,H400,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A4,H400,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
A4,I000,2.52,I,0-5cm,3,,,,,,,,,,,,,,,,,,
A4,I000,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
A4,I000,2.52,S,0-1.3 m,34,,,,,,,,,,,,,,,,,,
A4,I200,2.52,I,0-5cm,2,,,,,,,,,,,,,,,,,,
